areaCode,areaName,areaType,date,variant,cumWeeklySequenced,newWeeklyPercentage
E12000001,North East,region,2022-04-03,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-04-03,VOC-21NOV-01 (Omicron BA.1),108157.0,1.6
E12000001,North East,region,2022-04-03,VOC-22APR-03 (Omicron BA.4),108157.0,0.2
E12000001,North East,region,2022-04-03,VOC-22APR-04 (Omicron BA.5),108157.0,0.3
E12000001,North East,region,2022-04-03,VOC-22JAN-01 (Omicron BA.2),108157.0,97.7
E12000001,North East,region,2022-03-27,Other,107583.0,0.4
E12000001,North East,region,2022-03-27,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-03-27,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-03-27,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-03-27,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-03-27,VOC-21NOV-01 (Omicron BA.1),107583.0,4.0
E12000001,North East,region,2022-03-27,VOC-22APR-03 (Omicron BA.4),107583.0,0.1
E12000001,North East,region,2022-03-27,VOC-22APR-04 (Omicron BA.5),0.0,0.0
E12000001,North East,region,2022-03-27,VOC-22JAN-01 (Omicron BA.2),107583.0,95.5
E12000001,North East,region,2022-03-20,Other,105683.0,0.4
E12000001,North East,region,2022-03-20,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-03-20,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-03-20,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-03-20,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-03-20,VOC-21NOV-01 (Omicron BA.1),105683.0,6.3
E12000001,North East,region,2022-03-20,VOC-22APR-03 (Omicron BA.4),0.0,0.0
E12000001,North East,region,2022-03-20,VOC-22APR-04 (Omicron BA.5),105683.0,0.1
E12000001,North East,region,2022-03-20,VOC-22JAN-01 (Omicron BA.2),105683.0,93.1
E12000001,North East,region,2022-03-13,Other,103574.0,0.1
E12000001,North East,region,2022-03-13,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-03-13,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-03-13,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-03-13,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-03-13,VOC-21NOV-01 (Omicron BA.1),103574.0,12.8
E12000001,North East,region,2022-03-13,VOC-22APR-03 (Omicron BA.4),0.0,0.0
E12000001,North East,region,2022-03-13,VOC-22APR-04 (Omicron BA.5),0.0,0.0
E12000001,North East,region,2022-03-13,VOC-22JAN-01 (Omicron BA.2),103574.0,87.1
E12000001,North East,region,2022-03-06,Other,101806.0,0.5
E12000001,North East,region,2022-03-06,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-03-06,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-03-06,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-03-06,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-03-06,VOC-21NOV-01 (Omicron BA.1),101806.0,21.5
E12000001,North East,region,2022-03-06,VOC-22APR-03 (Omicron BA.4),0.0,0.0
E12000001,North East,region,2022-03-06,VOC-22APR-04 (Omicron BA.5),101806.0,0.1
E12000001,North East,region,2022-03-06,VOC-22JAN-01 (Omicron BA.2),101806.0,78.0
E12000001,North East,region,2022-02-27,Other,100025.0,0.2
E12000001,North East,region,2022-02-27,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-02-27,V-21APR-02 (Delta B.1.617.2),0.0,0.0
